Step,Balance,Shares Held,Net Worth,Profit
261,270.1119384765625,[34.],11403.412353515625,1403.412353515625
262,270.1119384765625,[34.],11428.572021484375,1428.572021484375
263,270.1119384765625,[34.],11521.392395019531,1521.3923950195312
264,270.1119384765625,[34.],11556.412353515625,1556.412353515625
265,270.1119384765625,[34.],11534.3115234375,1534.3115234375
266,270.1119384765625,[34.],11535.671813964844,1535.6718139648438
267,11548.591979980469,0,11548.591979980469,1548.5919799804688
268,11548.591979980469,0,11548.591979980469,1548.5919799804688
269,11548.591979980469,0,11548.591979980469,1548.5919799804688
270,107.44146728515625,[35.],11548.591979980469,1548.5919799804688
271,107.44146728515625,[35.],11539.141296386719,1539.1412963867188
272,107.44146728515625,[35.],11576.2412109375,1576.2412109375
273,107.44146728515625,[35.],11367.99185180664,1367.9918518066406
274,107.44146728515625,[35.],11451.641296386719,1451.6412963867188
275,107.44146728515625,[35.],11624.541381835938,1624.5413818359375
276,107.44146728515625,[35.],11757.540954589844,1757.5409545898438
277,107.44146728515625,[35.],11796.74185180664,1796.7418518066406
278,107.44146728515625,[35.],11734.44189453125,1734.44189453125
279,11821.2412109375,0,11821.2412109375,1821.2412109375
280,87.140869140625,[35.],11821.2412109375,1821.2412109375
281,87.140869140625,[35.],11896.841339111328,1896.8413391113281
282,87.140869140625,[35.],11884.240783691406,1884.2407836914062
283,11903.141082763672,0,11903.141082763672,1903.1410827636719
284,11903.141082763672,0,11903.141082763672,1903.1410827636719
285,11903.141082763672,0,11903.141082763672,1903.1410827636719
286,11903.141082763672,0,11903.141082763672,1903.1410827636719
287,11903.141082763672,0,11903.141082763672,1903.1410827636719
288,296.0205993652344,[36.],11903.141082763672,1903.1410827636719
289,296.0205993652344,[36.],11551.420379638672,1551.4203796386719
290,11510.020599365234,0,11510.020599365234,1510.0205993652344
291,204.64022827148438,[38.],11510.020599365234,1510.0205993652344
292,204.64022827148438,[38.],11462.520599365234,1462.5205993652344
293,11950.060089111328,0,11950.060089111328,1950.0600891113281
294,11950.060089111328,0,11950.060089111328,1950.0600891113281
295,61.380645751953125,[38.],11950.060089111328,1950.0600891113281
296,61.380645751953125,[38.],11554.860321044922,1554.8603210449219
